county,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,hour_all
Taiwan,3608,2008,1353,1169,1262,2629,6901,26189,24727,19357,18337,19108,18706,15441,16142,17324,20174,27335,21906,15922,12517,11513,9340,5889,318857
Taipei City,351,197,122,101,98,167,375,1086,1945,1475,1329,1210,1240,1135,1195,1180,1243,1506,1495,1093,763,920,874,531,21631
New Taipei City,520,294,195,148,160,284,726,2604,2941,2118,1923,1844,1977,1722,1746,1744,1989,2644,2383,1815,1448,1440,1381,901,34947
Keelung City,49,23,20,13,17,37,93,228,261,218,194,209,194,169,165,221,210,263,237,161,142,134,135,90,3483
Taoyuan City,388,238,165,126,164,321,851,2944,2431,1778,1584,1667,1705,1419,1486,1534,1868,2562,2142,1534,1351,1170,1014,622,31064
Hsinchu City,87,48,34,20,35,58,147,612,833,537,467,487,451,369,381,386,454,622,599,449,377,313,241,137,8144
Hsinchu County,91,61,25,21,27,61,245,939,973,605,515,519,518,414,479,502,588,886,782,539,446,355,266,165,10022
Miaoli County,52,24,8,19,16,50,153,565,465,359,345,380,373,253,276,344,418,593,385,292,251,190,112,84,6007
Taichung City,463,251,151,132,131,292,839,3770,3531,2539,2317,2495,2549,2056,2205,2404,2712,4087,3088,2227,1785,1697,1306,789,43816
Changhua County,127,54,52,55,50,134,378,1557,1111,980,959,1013,923,667,799,840,961,1438,987,715,572,533,307,197,15409
Nantou County,60,31,13,26,31,50,161,557,473,478,490,465,431,352,374,393,462,594,424,297,229,184,118,74,6767
Yunlin County,94,64,32,33,33,93,268,847,604,632,591,635,565,474,510,586,670,874,664,446,290,314,194,135,9648
Chiayi City,35,21,15,6,6,18,40,205,156,145,168,171,145,158,175,171,201,299,235,171,153,147,103,47,2991
Chiayi County,52,35,30,21,26,82,173,611,472,409,437,473,422,394,362,435,492,626,462,290,208,166,165,103,6946
Tainan City,412,208,129,117,144,298,819,3510,2978,2285,2308,2473,2461,1924,1972,2174,2649,3619,2775,2027,1554,1368,1029,618,39851
Kaohsiung City,529,285,210,207,193,395,964,3715,3389,2738,2593,2802,2718,2220,2278,2456,3113,3920,3156,2362,1732,1555,1403,936,45869
Pingtung County,126,81,59,58,58,136,336,1081,951,929,980,1024,914,714,770,848,972,1307,961,724,598,493,336,200,14656
Yilan County,85,47,31,30,29,72,148,668,563,502,517,514,463,387,417,477,499,615,466,363,287,235,145,104,7664
Hualien County,44,24,29,13,19,37,101,361,337,342,306,368,344,324,279,294,339,445,319,208,175,156,103,71,5038
Taitung County,29,16,20,14,18,34,59,219,221,193,207,240,213,185,188,240,223,273,220,131,94,83,66,60,3246
Penghu County,7,4,8,6,1,7,21,60,55,45,59,67,60,52,54,49,49,79,67,35,30,35,28,16,894
Kinmen County,7,2,5,2,5,2,3,46,36,49,46,51,40,52,31,45,62,82,58,43,31,25,13,9,745
Lienchiang County,0,0,0,1,1,1,1,4,1,1,2,1,0,1,0,1,0,1,1,0,1,0,1,0,19
