county,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,hour_all
Taiwan,3739,2265,1555,1192,1331,2483,6250,24794,22761,18052,16666,17075,17484,14528,15257,16742,19246,25717,21374,15743,12429,12248,10511,6632,306074
Taipei City,360,214,143,96,102,187,378,1064,1730,1365,1105,1028,1110,1027,1059,1122,1145,1429,1384,1028,869,969,1016,617,20547
New Taipei City,525,337,225,139,159,252,657,2168,2672,1983,1703,1678,1727,1552,1550,1645,1819,2382,2234,1716,1391,1494,1472,990,32470
Keelung City,57,32,25,14,23,27,73,200,186,155,182,161,162,144,171,157,161,205,208,196,134,152,137,88,3050
Taoyuan City,370,215,176,127,131,276,814,2809,2361,1641,1528,1487,1588,1277,1442,1520,1769,2409,1959,1611,1296,1196,990,692,29684
Hsinchu City,74,40,28,29,30,45,110,515,612,452,351,381,373,313,336,352,408,524,534,397,328,314,247,150,6943
Hsinchu County,69,50,26,18,18,42,177,677,632,429,350,370,360,285,335,373,458,563,519,402,292,269,196,125,7035
Miaoli County,43,28,18,15,17,42,140,535,382,308,273,282,281,222,232,274,358,444,384,304,230,207,134,80,5233
Taichung City,654,356,225,200,205,361,996,4751,4339,3236,3021,3127,3307,2676,2886,3025,3579,5164,4274,2839,2390,2385,1992,1161,57149
Changhua County,149,113,74,50,64,167,386,1726,1219,1108,1046,1062,1160,841,915,1035,1245,1736,1263,879,695,670,469,281,18353
Nantou County,71,30,23,24,15,41,105,472,353,346,325,409,321,318,313,377,419,509,372,283,200,170,153,78,5727
Yunlin County,79,35,29,31,32,94,185,761,549,522,459,508,480,390,434,479,540,734,547,410,295,242,163,116,8114
Chiayi City,38,29,17,18,14,22,53,182,177,159,142,146,196,153,177,178,188,249,206,156,127,154,133,63,2977
Chiayi County,56,36,16,12,30,75,143,477,370,366,371,325,308,295,284,334,384,495,377,278,216,159,125,88,5620
Tainan City,244,150,125,95,109,210,475,2178,1743,1324,1340,1355,1323,1036,1104,1325,1442,2039,1652,1201,923,885,705,442,23425
Kaohsiung City,688,417,260,212,237,397,1005,4255,3706,2963,2822,2937,3104,2541,2609,2960,3523,4518,3539,2731,2044,2080,1896,1245,52689
Pingtung County,109,99,71,64,77,117,255,849,759,757,768,824,734,564,575,684,840,1041,907,611,441,428,337,196,12107
Yilan County,61,35,25,21,17,39,129,515,414,382,340,369,345,327,318,339,373,486,393,269,223,191,119,91,5821
Hualien County,53,28,14,10,29,38,91,366,300,288,292,341,320,303,287,277,281,417,296,217,187,160,119,78,4792
Taitung County,26,12,23,9,15,38,54,185,148,185,175,177,177,160,148,194,198,252,206,136,94,81,70,34,2797
Penghu County,6,9,5,6,5,8,16,60,58,48,46,53,58,50,47,49,70,64,72,45,33,24,17,12,861
Kinmen County,7,0,7,2,2,4,8,46,49,34,27,53,48,53,34,43,44,57,48,34,20,17,21,4,662
Lienchiang County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
