county,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,hour_all
全台灣,3464,2016,1332,1084,1274,2398,6222,23826,22599,17981,16860,17514,17138,14275,14725,16265,18836,24891,20348,14941,11576,10868,9177,5779,295389
臺北市,352,214,150,110,90,175,378,1031,1806,1470,1272,1195,1138,1090,1114,1236,1275,1492,1548,1141,882,1010,1006,616,21791
新北市,554,280,190,150,150,283,648,2250,2715,1998,1784,1773,1858,1634,1531,1695,1924,2328,2267,1715,1275,1388,1249,850,32489
基隆市,28,25,9,13,17,26,71,143,152,135,151,142,118,130,121,124,141,184,162,134,119,105,102,71,2423
桃園市,399,233,173,116,163,334,774,2910,2423,1713,1715,1648,1623,1415,1417,1555,1861,2617,2157,1605,1325,1202,1032,658,31068
新竹市,78,37,28,22,30,49,123,446,592,418,381,389,396,332,325,319,413,520,437,393,248,246,210,109,6541
新竹縣,73,51,25,25,32,59,255,826,821,545,458,493,458,383,430,422,508,793,660,497,361,322,232,150,8879
苗栗縣,47,41,23,27,38,51,158,619,467,394,382,387,356,306,268,341,422,564,453,344,278,231,149,84,6430
臺中市,527,282,179,126,166,272,859,4043,3663,2825,2547,2703,2756,2134,2397,2499,2846,4279,3528,2374,1998,1745,1505,902,47155
彰化縣,151,69,56,52,60,165,406,1688,1219,1014,1038,1120,1015,792,869,978,1183,1616,1128,788,612,544,390,246,17199
南投縣,52,39,22,19,24,51,131,521,422,513,435,436,413,322,379,420,494,557,395,293,243,168,112,91,6552
雲林縣,111,49,38,30,36,99,239,776,602,550,590,569,548,427,457,605,574,830,611,395,324,275,192,142,9069
嘉義市,41,28,14,24,19,17,48,195,169,163,157,183,178,169,173,149,235,234,194,153,137,141,101,64,2986
嘉義縣,52,31,15,28,29,58,164,586,464,395,390,401,374,318,337,355,457,595,406,279,182,159,136,92,6303
臺南市,173,122,71,61,64,129,396,1637,1448,1059,1008,1187,1156,896,972,1077,1237,1663,1219,943,692,654,520,289,18673
高雄市,546,327,220,170,216,352,975,4016,3632,2962,2724,2944,2927,2372,2408,2740,3276,4112,3343,2518,1910,1722,1608,1010,49030
屏東縣,133,76,47,50,64,115,283,894,828,781,768,831,767,610,632,724,859,1068,786,615,475,407,299,185,12297
宜蘭縣,65,46,29,32,34,65,124,572,518,438,439,436,406,396,340,405,442,582,407,295,218,225,138,93,6745
花蓮縣,33,24,21,14,23,44,104,356,337,322,308,364,334,281,289,305,355,448,302,216,144,172,99,64,4959
臺東縣,34,26,14,10,11,43,63,219,211,205,214,220,204,192,175,216,224,255,217,159,111,96,59,46,3224
澎湖縣,7,9,8,5,4,5,12,54,59,40,57,54,63,47,43,51,64,87,61,45,21,31,20,7,854
金門縣,8,7,0,0,4,6,11,43,50,41,41,37,50,28,48,49,44,65,65,39,21,25,17,10,709
連江縣,0,0,0,0,0,0,0,1,1,0,1,2,0,1,0,0,2,2,2,0,0,0,1,0,13
