table,county,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,hour_all
104A1,New Taipei City,1,4,5,4,4,3,7,6,8,10,0,5,3,3,4,8,9,9,6,4,3,4,6,4,120
104A1,Keelung City,0,0,0,1,1,1,2,2,0,1,1,2,2,1,0,0,0,1,3,1,0,1,0,2,22
104A1,Taoyuan City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104A1,Hsinchu City,1,1,1,2,0,1,1,1,4,2,2,0,0,2,0,1,1,1,2,3,2,1,1,0,30
104A1,Hsinchu County,0,1,1,1,2,4,3,3,3,6,2,3,5,3,3,2,2,3,7,5,4,3,1,5,72
104A1,Miaoli County,0,3,1,1,2,5,1,3,2,2,3,2,1,2,4,3,3,3,4,2,3,0,0,4,54
104A1,Taichung City,3,0,3,2,4,6,9,12,6,4,5,5,2,3,7,9,6,10,8,4,7,2,7,3,127
104A1,Changhua County,7,4,2,5,7,6,6,3,6,3,10,6,9,4,3,9,6,7,12,8,6,4,4,3,140
104A1,Nantou County,3,1,1,1,0,3,3,2,3,3,3,5,1,3,2,5,2,3,2,1,2,3,3,1,56
104A1,Yunlin County,2,2,3,1,1,4,3,7,7,5,2,9,6,4,4,5,4,9,8,4,4,3,5,4,106
104A1,Chiayi City,0,2,0,1,0,1,0,0,3,0,1,1,0,0,0,1,2,0,1,1,1,0,0,0,15
104A1,Chiayi County,1,0,1,1,0,4,3,8,4,3,3,4,2,4,1,3,5,4,9,9,2,2,2,1,76
104A1,Tainan City,6,7,2,2,4,7,8,8,11,11,9,9,8,7,7,9,5,11,9,16,5,7,4,3,175
104A1,Kaohsiung City,4,4,1,6,8,12,11,8,10,10,7,16,4,7,8,11,9,12,10,9,2,6,4,3,182
104A1,Pingtung County,5,3,8,2,1,8,7,7,5,6,5,8,2,3,4,9,1,3,8,4,1,3,3,2,108
104A1,Yilan County,2,0,2,0,1,3,3,4,2,4,2,2,2,2,0,3,3,2,3,2,1,3,1,1,48
104A1,Hualien County,0,1,0,1,1,3,2,1,0,2,2,6,1,1,2,0,1,4,4,2,0,1,3,0,38
104A1,Taitung County,0,2,2,0,0,1,2,3,1,1,5,1,1,1,1,4,3,2,2,4,2,1,1,0,40
104A1,Penghu County,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,8
104A1,Kinmen County,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,7
104A1,Lienchiang County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104A2,Taiwan,3684,2162,1553,1171,1364,2417,6281,23964,22502,18130,16891,17536,17517,14423,15347,16982,19116,25407,21002,15618,12291,11844,10225,6350,303777
104A2,Taipei City,343,206,151,111,125,164,349,1065,1707,1349,1164,1100,1115,1037,1059,1196,1185,1404,1344,1099,881,947,965,616,20682
104A2,New Taipei City,558,311,225,137,139,254,645,2251,2574,1985,1841,1736,1802,1615,1578,1737,1799,2346,2223,1642,1355,1397,1387,924,32461
104A2,Keelung City,55,21,23,17,15,45,80,197,207,160,154,167,150,155,152,142,176,228,207,149,128,119,117,90,2954
104A2,Taoyuan City,444,224,181,128,164,316,850,2844,2484,1848,1588,1640,1730,1407,1535,1653,1903,2575,2185,1741,1508,1323,1115,699,32085
104A2,Hsinchu City,65,59,25,30,28,51,146,493,600,426,352,400,427,322,311,360,444,552,550,456,315,284,271,163,7130
104A2,Hsinchu County,53,36,24,24,20,49,169,593,528,336,300,369,338,238,296,354,403,500,443,317,276,219,194,103,6182
