table,county,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,hour_all
107A2,Taiwan,3608,2008,1353,1169,1262,2629,6901,26189,24727,19357,18337,19108,18706,15441,16142,17324,20174,27335,21906,15922,12517,11513,9340,5889,318857
107A2,Taipei City,351,197,122,101,98,167,375,1086,1945,1475,1329,1210,1240,1135,1195,1180,1243,1506,1495,1093,763,920,874,531,21631
107A2,New Taipei City,520,294,195,148,160,284,726,2604,2941,2118,1923,1844,1977,1722,1746,1744,1989,2644,2383,1815,1448,1440,1381,901,34947
107A2,Keelung City,49,23,20,13,17,37,93,228,261,218,194,209,194,169,165,221,210,263,237,161,142,134,135,90,3483
107A2,Taoyuan City,388,238,165,126,164,321,851,2944,2431,1778,1584,1667,1705,1419,1486,1534,1868,2562,2142,1534,1351,1170,1014,622,31064
107A2,Hsinchu City,87,48,34,20,35,58,147,612,833,537,467,487,451,369,381,386,454,622,599,449,377,313,241,137,8144
107A2,Hsinchu County,91,61,25,21,27,61,245,939,973,605,515,519,518,414,479,502,588,886,782,539,446,355,266,165,10022
107A2,Miaoli County,52,24,8,19,16,50,153,565,465,359,345,380,373,253,276,344,418,593,385,292,251,190,112,84,6007
107A2,Taichung City,463,251,151,132,131,292,839,3770,3531,2539,2317,2495,2549,2056,2205,2404,2712,4087,3088,2227,1785,1697,1306,789,43816
107A2,Changhua County,127,54,52,55,50,134,378,1557,1111,980,959,1013,923,667,799,840,961,1438,987,715,572,533,307,197,15409
107A2,Nantou County,60,31,13,26,31,50,161,557,473,478,490,465,431,352,374,393,462,594,424,297,229,184,118,74,6767
107A2,Yunlin County,94,64,32,33,33,93,268,847,604,632,591,635,565,474,510,586,670,874,664,446,290,314,194,135,9648
107A2,Chiayi City,35,21,15,6,6,18,40,205,156,145,168,171,145,158,175,171,201,299,235,171,153,147,103,47,2991
107A2,Chiayi County,52,35,30,21,26,82,173,611,472,409,437,473,422,394,362,435,492,626,462,290,208,166,165,103,6946
107A2,Tainan City,412,208,129,117,144,298,819,3510,2978,2285,2308,2473,2461,1924,1972,2174,2649,3619,2775,2027,1554,1368,1029,618,39851
107A2,Kaohsiung City,529,285,210,207,193,395,964,3715,3389,2738,2593,2802,2718,2220,2278,2456,3113,3920,3156,2362,1732,1555,1403,936,45869
107A2,Pingtung County,126,81,59,58,58,136,336,1081,951,929,980,1024,914,714,770,848,972,1307,961,724,598,493,336,200,14656
107A2,Yilan County,85,47,31,30,29,72,148,668,563,502,517,514,463,387,417,477,499,615,466,363,287,235,145,104,7664
107A2,Hualien County,44,24,29,13,19,37,101,361,337,342,306,368,344,324,279,294,339,445,319,208,175,156,103,71,5038
107A2,Taitung County,29,16,20,14,18,34,59,219,221,193,207,240,213,185,188,240,223,273,220,131,94,83,66,60,3246
107A2,Penghu County,7,4,8,6,1,7,21,60,55,45,59,67,60,52,54,49,49,79,67,35,30,35,28,16,894
107A2,Kinmen County,7,2,5,2,5,2,3,46,36,49,46,51,40,52,31,45,62,82,58,43,31,25,13,9,745
107A2,Lienchiang County,0,0,0,1,1,1,1,4,1,1,2,1,0,1,0,1,0,1,1,0,1,0,1,0,19
108A1,Taiwan,41,34,30,46,60,90,90,104,98,86,72,90,83,79,86,75,88,110,113,96,73,57,66,47,1814
108A1,Taipei City,3,3,1,2,1,4,9,6,4,4,3,3,2,3,4,5,2,2,8,7,3,4,0,2,85
108A1,New Taipei City,5,4,3,7,6,14,8,10,7,5,3,8,9,7,5,8,5,10,8,8,1,3,14,7,165
108A1,Keelung City,0,0,1,2,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,17
108A1,Taoyuan City,3,5,3,4,6,4,9,14,6,8,8,9,14,4,6,5,8,12,5,10,4,3,6,1,157
108A1,Hsinchu City,0,0,0,1,2,2,2,1,3,1,2,1,1,0,2,1,0,0,1,1,0,3,0,1,25
108A1,Hsinchu County,1,1,1,0,4,4,2,3,4,3,1,5,0,3,2,1,4,6,2,3,2,0,3,2,57
108A1,Miaoli County,3,1,0,2,3,3,4,8,4,4,3,3,1,5,2,5,3,1,5,2,6,3,2,1,74
108A1,Taichung City,5,1,6,6,5,15,8,11,12,12,5,7,5,10,14,10,14,9,7,9,6,8,8,4,197
108A1,Changhua County,5,1,1,2,5,6,8,9,5,6,8,7,5,5,4,5,8,9,8,5,11,3,7,4,137
108A1,Nantou County,1,4,0,2,2,2,1,1,1,1,4,4,1,5,3,2,6,5,9,4,3,1,1,1,64
108A1,Yunlin County,0,1,1,2,3,5,2,7,8,6,4,6,4,0,4,4,3,6,8,3,3,1,6,3,90
108A1,Chiayi City,0,0,1,1,3,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,12
108A1,Chiayi County,2,1,3,3,2,2,2,8,4,3,1,3,7,4,4,5,8,6,4,4,4,3,1,2,86
108A1,Tainan City,4,5,1,7,4,4,13,10,12,9,9,8,11,9,5,8,9,15,11,10,4,6,5,5,184
108A1,Kaohsiung City,6,4,2,4,6,11,13,6,15,9,12,9,8,12,10,6,5,15,10,12,12,6,5,7,205
108A1,Pingtung County,2,2,3,0,6,6,6,6,4,5,1,7,4,7,7,3,5,6,10,6,6,7,1,3,113
108A1,Yilan County,0,0,3,0,1,3,1,1,1,6,2,1,6,3,4,1,2,2,8,4,2,1,2,0,54
108A1,Hualien County,1,0,0,1,1,2,0,0,3,2,3,4,2,2,5,1,1,3,3,0,1,0,1,2,38
108A1,Taitung County,0,1,0,0,0,2,2,0,2,0,1,3,2,0,2,2,3,2,3,5,5,4,1,1,41
108A1,Penghu County,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,6
108A1,Kinmen County,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,5
108A1,Lienchiang County,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2
108A2,Taiwan,3667,2152,1432,1217,1282,2665,7359,28080,25836,20365,19577,20769,20113,16514,16947,18631,21420,29615,23629,17050,13231,12131,9869,6293,339844
108A2,Taipei City,310,203,147,122,101,171,398,1182,1930,1562,1359,1322,1322,1198,1162,1196,1262,1520,1582,1221,902,918,948,616,22654
108A2,New Taipei City,564,297,197,171,144,280,747,2523,2925,2203,2036,2019,2080,1829,1864,1928,2099,2756,2576,1932,1541,1526,1440,940,36617
108A2,Keelung City,61,34,22,13,17,43,99,272,301,233,239,232,245,230,212,242,227,326,284,217,179,201,159,89,4177
108A2,Taoyuan City,523,307,192,169,179,409,1131,3912,3410,2292,2280,2283,2377,1998,2054,2259,2551,3766,3057,2208,1850,1613,1255,862,42937
108A2,Hsinchu City,100,60,39,34,35,71,174,697,853,597,554,574,536,446,434,490,536,746,740,551,396,382,266,140,9451
108A2,Hsinchu County,66,61,27,23,22,76,287,956,981,600,482,572,528,421,450,513,629,913,775,574,421,348,245,135,10105
108A2,Miaoli County,55,26,23,27,28,61,178,664,467,406,386,416,383,264,262,340,471,637,439,340,265,232,159,80,6609
108A2,Taichung City,468,266,164,136,132,254,809,3777,3408,2540,2321,2575,2534,2024,2084,2267,2674,3986,3139,2126,1709,1542,1233,767,42935
108A2,Changhua County,164,85,63,62,60,151,495,2054,1396,1210,1200,1285,1156,918,981,1126,1340,2008,1286,953,711,623,444,260,20031
108A2,Nantou County,56,40,33,33,30,55,146,558,511,468,492,544,453,359,363,401,451,679,419,312,233,197,145,96,7074
108A2,Yunlin County,92,54,30,30,40,89,237,875,681,592,611,613,584,473,507,638,704,889,662,493,350,294,270,158,9966
108A2,Chiayi City,26,21,18,8,9,22,58,227,155,175,156,191,162,160,164,160,199,252,221,174,136,141,86,79,3000
108A2,Chiayi County,59,30,30,14,21,64,182,652,467,442,472,478,430,378,383,415,471,637,446,293,228,196,139,106,7033
108A2,Tainan City,358,195,149,125,136,264,750,3545,2904,2231,2301,2491,2458,1815,1972,2145,2535,3739,2699,1881,1451,1325,1023,636,39128
108A2,Kaohsiung City,470,275,168,141,173,318,933,3552,3215,2571,2458,2684,2575,2069,2134,2403,2817,3636,2904,2153,1641,1515,1270,781,42856
108A2,Pingtung County,140,106,70,50,78,161,366,1245,999,1079,1021,1173,1010,831,869,990,1200,1481,1119,755,584,515,359,277,16478
108A2,Yilan County,64,39,24,25,33,88,173,663,574,501,499,566,461,436,452,469,523,688,518,347,261,242,166,106,7918
108A2,Hualien County,39,28,20,16,19,44,95,380,328,329,350,366,413,337,288,323,336,461,351,243,173,152,126,83,5300
108A2,Taitung County,36,11,8,13,21,35,75,246,223,239,241,285,269,217,225,241,256,322,259,172,121,108,87,62,3772
108A2,Penghu County,7,9,3,4,2,6,17,50,53,40,63,47,60,49,43,45,67,76,74,41,36,35,23,10,860
108A2,Kinmen County,9,5,5,1,2,3,9,48,51,52,53,52,76,57,38,40,67,91,75,63,40,25,24,10,896
108A2,Lienchiang County,0,0,0,0,0,0,0,2,4,3,3,1,1,5,6,0,5,6,4,1,3,1,2,0,47
