county,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,hour_all
全台灣,3778,2201,1523,1223,1366,2497,6515,23927,22674,17788,17072,17622,17527,14642,15279,16750,19161,25323,21439,15652,12036,11645,10030,6331,304001
臺北市,392,241,155,130,114,169,417,1182,1876,1478,1260,1208,1267,1137,1152,1278,1245,1491,1529,1165,875,1052,1018,675,22506
新北市,549,325,214,151,153,266,700,2218,2627,1985,1745,1796,1767,1612,1647,1756,1894,2431,2277,1618,1367,1379,1420,970,32867
基隆市,39,34,26,16,18,31,59,163,179,156,128,123,135,122,124,143,139,187,187,135,128,118,117,70,2577
桃園市,456,280,199,143,175,330,888,2824,2429,1699,1621,1592,1669,1413,1482,1553,1901,2564,2270,1570,1354,1248,1118,687,31465
新竹市,70,43,27,37,17,45,134,548,681,422,386,437,413,347,393,377,439,571,557,425,292,327,274,153,7415
新竹縣,81,46,29,31,41,55,214,743,736,485,420,455,447,364,350,410,477,717,610,459,318,305,216,152,8161
苗栗縣,48,36,20,20,23,55,159,597,441,343,369,385,343,261,287,357,442,583,429,350,247,217,149,110,6271
臺中市,560,273,183,166,194,294,900,4176,3877,2940,2803,2868,2933,2269,2528,2725,3024,4552,3805,2681,2097,2076,1693,998,50615
彰化縣,143,93,67,50,61,160,366,1655,1082,1022,998,1055,1003,787,841,956,1174,1624,1237,854,706,609,439,239,17221
南投縣,50,35,20,24,25,61,153,500,439,405,406,430,408,344,390,424,403,583,402,306,218,188,134,85,6433
雲林縣,96,59,50,22,34,90,246,739,537,522,555,576,462,426,464,545,626,796,589,441,291,232,203,139,8740
嘉義市,48,32,16,10,15,23,47,197,167,157,164,174,220,178,146,154,190,249,214,142,129,156,99,57,2984
嘉義縣,59,32,16,19,32,72,162,496,378,348,368,380,327,311,297,379,382,531,379,297,180,158,118,69,5790
臺南市,201,147,94,69,87,168,369,1678,1455,1130,1137,1162,1274,971,1003,1064,1255,1748,1393,1012,799,708,600,339,19863
高雄市,706,370,256,222,226,379,1076,4103,3817,2912,2892,3002,3040,2469,2598,2819,3569,4251,3648,2742,1996,1871,1741,1106,51811
屏東縣,137,77,78,52,81,142,296,871,822,794,825,856,783,622,665,814,881,1055,858,649,474,479,351,249,12911
宜蘭縣,58,35,25,16,28,65,143,551,468,400,381,431,416,385,326,374,421,553,414,289,226,205,131,89,6430
花蓮縣,35,17,18,19,15,38,94,353,337,292,316,351,327,330,312,303,343,416,318,237,178,157,106,75,4987
臺東縣,34,21,18,17,19,47,66,201,222,196,200,229,178,192,179,215,241,264,210,178,101,113,70,47,3258
澎湖縣,12,2,9,5,6,6,20,78,58,62,61,66,61,58,62,58,61,72,57,50,33,32,20,10,959
金門縣,4,3,3,4,2,1,6,53,41,40,36,44,53,42,31,46,51,81,56,48,27,15,13,12,712
連江縣,0,0,0,0,0,0,0,1,5,0,1,2,1,2,2,0,3,4,0,4,0,0,0,0,25
