county,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,hour_all
全台灣,62,31,41,39,62,78,82,97,84,97,69,72,81,56,74,95,89,103,101,95,76,67,60,59,1770
臺北市,9,0,2,3,2,7,3,3,5,6,3,2,5,0,3,4,4,3,4,3,3,6,1,3,84
新北市,6,5,3,7,2,6,6,6,2,7,7,8,6,3,7,9,9,6,8,4,5,5,3,5,135
基隆市,0,0,1,0,1,2,1,2,2,1,1,0,0,0,1,0,0,2,2,0,2,0,1,1,20
桃園市,6,1,2,4,4,8,8,3,9,4,4,8,3,2,5,10,6,7,7,5,5,5,8,5,129
新竹市,0,2,2,1,1,2,4,2,1,1,4,1,4,0,0,1,1,1,2,4,0,1,2,2,39
新竹縣,2,1,1,1,3,3,3,0,2,4,3,1,3,2,3,5,5,4,2,3,3,2,3,2,61
苗栗縣,1,1,0,2,3,0,1,2,3,5,2,4,2,5,3,5,1,6,6,6,4,2,1,1,66
臺中市,5,1,5,3,5,3,5,4,7,4,8,7,2,8,6,4,11,9,11,6,6,4,4,6,134
彰化縣,4,5,0,3,8,4,9,11,10,5,5,2,5,1,7,11,9,9,11,7,10,5,4,9,154
南投縣,2,3,1,1,1,5,2,2,3,4,2,4,0,3,2,4,3,7,4,6,6,2,1,2,70
雲林縣,1,1,3,0,5,2,7,3,8,6,1,4,8,2,4,4,5,6,8,6,2,5,6,2,99
嘉義市,0,0,1,1,1,1,2,1,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,13
嘉義縣,3,0,2,1,3,3,1,6,3,5,4,2,2,4,5,2,2,6,4,2,4,2,6,2,74
臺南市,8,3,3,3,6,6,11,17,5,10,11,4,12,8,6,17,7,15,11,6,3,7,4,2,185
高雄市,9,4,8,6,6,16,7,14,8,16,7,8,16,8,7,5,7,13,6,17,10,9,9,12,228
屏東縣,3,1,4,1,6,8,3,9,4,5,4,6,5,1,8,6,8,3,7,12,6,5,4,0,119
宜蘭縣,1,0,0,1,0,0,2,7,5,6,1,2,4,4,2,0,3,1,2,0,3,4,1,1,50
花蓮縣,2,2,0,1,3,1,3,4,4,3,2,4,1,3,2,6,5,2,3,4,0,2,0,3,60
臺東縣,0,0,1,0,2,1,4,1,2,2,0,5,3,1,3,2,3,3,2,3,3,1,2,1,45
澎湖縣,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
金門縣,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
