county,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,hour_all
全台灣,41,34,30,46,60,90,90,104,98,86,72,90,83,79,86,75,88,110,113,96,73,57,66,47,1814
臺北市,3,3,1,2,1,4,9,6,4,4,3,3,2,3,4,5,2,2,8,7,3,4,0,2,85
新北市,5,4,3,7,6,14,8,10,7,5,3,8,9,7,5,8,5,10,8,8,1,3,14,7,165
基隆市,0,0,1,2,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,17
桃園市,3,5,3,4,6,4,9,14,6,8,8,9,14,4,6,5,8,12,5,10,4,3,6,1,157
新竹市,0,0,0,1,2,2,2,1,3,1,2,1,1,0,2,1,0,0,1,1,0,3,0,1,25
新竹縣,1,1,1,0,4,4,2,3,4,3,1,5,0,3,2,1,4,6,2,3,2,0,3,2,57
苗栗縣,3,1,0,2,3,3,4,8,4,4,3,3,1,5,2,5,3,1,5,2,6,3,2,1,74
臺中市,5,1,6,6,5,15,8,11,12,12,5,7,5,10,14,10,14,9,7,9,6,8,8,4,197
彰化縣,5,1,1,2,5,6,8,9,5,6,8,7,5,5,4,5,8,9,8,5,11,3,7,4,137
南投縣,1,4,0,2,2,2,1,1,1,1,4,4,1,5,3,2,6,5,9,4,3,1,1,1,64
雲林縣,0,1,1,2,3,5,2,7,8,6,4,6,4,0,4,4,3,6,8,3,3,1,6,3,90
嘉義市,0,0,1,1,3,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,12
嘉義縣,2,1,3,3,2,2,2,8,4,3,1,3,7,4,4,5,8,6,4,4,4,3,1,2,86
臺南市,4,5,1,7,4,4,13,10,12,9,9,8,11,9,5,8,9,15,11,10,4,6,5,5,184
高雄市,6,4,2,4,6,11,13,6,15,9,12,9,8,12,10,6,5,15,10,12,12,6,5,7,205
屏東縣,2,2,3,0,6,6,6,6,4,5,1,7,4,7,7,3,5,6,10,6,6,7,1,3,113
宜蘭縣,0,0,3,0,1,3,1,1,1,6,2,1,6,3,4,1,2,2,8,4,2,1,2,0,54
花蓮縣,1,0,0,1,1,2,0,0,3,2,3,4,2,2,5,1,1,3,3,0,1,0,1,2,38
臺東縣,0,1,0,0,0,2,2,0,2,0,1,3,2,0,2,2,3,2,3,5,5,4,1,1,41
澎湖縣,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,6
金門縣,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,5
連江縣,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2
