county,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,hour_all
全台灣,3667,2152,1432,1217,1282,2665,7359,28080,25836,20365,19577,20769,20113,16514,16947,18631,21420,29615,23629,17050,13231,12131,9869,6293,339844
臺北市,310,203,147,122,101,171,398,1182,1930,1562,1359,1322,1322,1198,1162,1196,1262,1520,1582,1221,902,918,948,616,22654
新北市,564,297,197,171,144,280,747,2523,2925,2203,2036,2019,2080,1829,1864,1928,2099,2756,2576,1932,1541,1526,1440,940,36617
基隆市,61,34,22,13,17,43,99,272,301,233,239,232,245,230,212,242,227,326,284,217,179,201,159,89,4177
桃園市,523,307,192,169,179,409,1131,3912,3410,2292,2280,2283,2377,1998,2054,2259,2551,3766,3057,2208,1850,1613,1255,862,42937
新竹市,100,60,39,34,35,71,174,697,853,597,554,574,536,446,434,490,536,746,740,551,396,382,266,140,9451
新竹縣,66,61,27,23,22,76,287,956,981,600,482,572,528,421,450,513,629,913,775,574,421,348,245,135,10105
苗栗縣,55,26,23,27,28,61,178,664,467,406,386,416,383,264,262,340,471,637,439,340,265,232,159,80,6609
臺中市,468,266,164,136,132,254,809,3777,3408,2540,2321,2575,2534,2024,2084,2267,2674,3986,3139,2126,1709,1542,1233,767,42935
彰化縣,164,85,63,62,60,151,495,2054,1396,1210,1200,1285,1156,918,981,1126,1340,2008,1286,953,711,623,444,260,20031
南投縣,56,40,33,33,30,55,146,558,511,468,492,544,453,359,363,401,451,679,419,312,233,197,145,96,7074
雲林縣,92,54,30,30,40,89,237,875,681,592,611,613,584,473,507,638,704,889,662,493,350,294,270,158,9966
嘉義市,26,21,18,8,9,22,58,227,155,175,156,191,162,160,164,160,199,252,221,174,136,141,86,79,3000
嘉義縣,59,30,30,14,21,64,182,652,467,442,472,478,430,378,383,415,471,637,446,293,228,196,139,106,7033
臺南市,358,195,149,125,136,264,750,3545,2904,2231,2301,2491,2458,1815,1972,2145,2535,3739,2699,1881,1451,1325,1023,636,39128
高雄市,470,275,168,141,173,318,933,3552,3215,2571,2458,2684,2575,2069,2134,2403,2817,3636,2904,2153,1641,1515,1270,781,42856
屏東縣,140,106,70,50,78,161,366,1245,999,1079,1021,1173,1010,831,869,990,1200,1481,1119,755,584,515,359,277,16478
宜蘭縣,64,39,24,25,33,88,173,663,574,501,499,566,461,436,452,469,523,688,518,347,261,242,166,106,7918
花蓮縣,39,28,20,16,19,44,95,380,328,329,350,366,413,337,288,323,336,461,351,243,173,152,126,83,5300
臺東縣,36,11,8,13,21,35,75,246,223,239,241,285,269,217,225,241,256,322,259,172,121,108,87,62,3772
澎湖縣,7,9,3,4,2,6,17,50,53,40,63,47,60,49,43,45,67,76,74,41,36,35,23,10,860
金門縣,9,5,5,1,2,3,9,48,51,52,53,52,76,57,38,40,67,91,75,63,40,25,24,10,896
連江縣,0,0,0,0,0,0,0,2,4,3,3,1,1,5,6,0,5,6,4,1,3,1,2,0,47
