county,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,hour_all
全台灣,38,22,27,29,32,63,54,87,74,65,66,57,51,42,73,59,74,60,83,54,42,47,40,46,1285
臺北市,1,1,2,1,1,3,6,0,3,0,2,5,2,0,2,1,0,1,2,3,2,2,1,1,42
新北市,2,0,4,1,3,5,2,3,3,8,5,3,4,1,7,0,1,0,6,0,1,3,1,6,69
基隆市,0,1,0,2,0,0,1,1,1,0,1,1,1,0,0,2,2,0,1,1,0,2,2,0,19
桃園市,5,2,3,2,4,5,3,6,9,5,5,3,6,4,9,8,8,5,7,3,2,5,5,8,122
新竹市,1,0,0,2,1,2,0,3,1,2,3,2,0,1,1,0,3,1,3,0,2,0,1,0,29
新竹縣,2,3,0,2,1,2,5,4,2,2,3,0,2,2,4,2,5,1,6,1,2,3,1,2,57
苗栗縣,1,1,1,0,2,3,1,7,0,4,2,0,1,3,0,1,2,3,2,1,2,1,1,0,39
臺中市,0,1,1,2,4,4,3,2,6,5,0,1,4,4,2,4,3,2,3,4,0,3,2,3,63
彰化縣,1,1,0,0,3,5,4,7,3,6,5,0,4,5,3,3,6,2,6,5,3,3,1,0,76
南投縣,0,2,2,1,0,1,3,2,2,2,3,3,1,0,3,7,4,4,4,3,4,2,4,1,58
雲林縣,2,0,1,2,2,6,2,8,6,8,8,3,3,3,4,1,4,3,6,8,6,1,3,2,92
嘉義市,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,7
嘉義縣,2,0,0,1,2,2,2,6,3,5,4,4,4,1,5,4,3,3,7,4,1,1,0,3,67
臺南市,5,3,4,4,4,8,10,11,9,5,10,12,4,5,12,10,14,10,9,4,4,6,5,8,176
高雄市,6,2,5,4,2,10,4,9,7,5,8,8,6,0,12,5,9,11,5,4,1,4,6,4,137
屏東縣,3,3,0,2,3,4,3,6,7,3,1,5,3,3,3,6,4,2,9,7,7,5,2,6,97
宜蘭縣,1,0,0,0,0,1,0,5,1,1,2,1,4,3,1,1,2,2,2,2,1,0,3,0,33
花蓮縣,2,2,0,1,0,0,3,1,7,3,2,2,2,4,1,2,2,2,3,1,1,3,0,2,46
臺東縣,2,0,3,0,0,2,1,4,2,0,1,3,0,2,3,0,2,4,0,2,3,2,1,0,37
澎湖縣,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,2,0,0,1,0,0,10
金門縣,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,3,0,0,0,0,1,0,9
連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
