county,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,hour_all
Taiwan,3684,2162,1553,1171,1364,2417,6281,23964,22502,18130,16891,17536,17517,14423,15347,16982,19116,25407,21002,15618,12291,11844,10225,6350,303777
Taipei City,343,206,151,111,125,164,349,1065,1707,1349,1164,1100,1115,1037,1059,1196,1185,1404,1344,1099,881,947,965,616,20682
New Taipei City,558,311,225,137,139,254,645,2251,2574,1985,1841,1736,1802,1615,1578,1737,1799,2346,2223,1642,1355,1397,1387,924,32461
Keelung City,55,21,23,17,15,45,80,197,207,160,154,167,150,155,152,142,176,228,207,149,128,119,117,90,2954
Taoyuan City,444,224,181,128,164,316,850,2844,2484,1848,1588,1640,1730,1407,1535,1653,1903,2575,2185,1741,1508,1323,1115,699,32085
Hsinchu City,65,59,25,30,28,51,146,493,600,426,352,400,427,322,311,360,444,552,550,456,315,284,271,163,7130
Hsinchu County,53,36,24,24,20,49,169,593,528,336,300,369,338,238,296,354,403,500,443,317,276,219,194,103,6182
Miaoli County,50,32,23,26,23,45,158,496,433,350,324,376,321,262,252,344,380,534,355,324,233,199,158,90,5788
Taichung City,585,314,206,165,188,326,930,4404,4046,3111,2805,3037,3023,2464,2670,2854,3233,4805,4034,2689,2067,2145,1846,1041,52988
Changhua County,132,87,61,46,69,154,364,1608,1130,974,984,1041,1000,750,846,931,1065,1636,1145,806,642,592,410,254,16727
Nantou County,43,34,23,17,30,51,135,435,401,416,371,422,384,329,347,338,430,521,365,298,213,198,151,102,6054
Yunlin County,90,63,41,23,33,74,185,728,554,525,563,501,480,373,402,508,619,724,563,425,314,269,167,141,8365
Chiayi City,41,18,23,18,14,18,56,178,181,156,126,173,180,157,164,176,202,287,175,178,136,137,124,59,2977
Chiayi County,50,35,24,19,25,69,161,517,369,376,378,324,345,294,355,361,435,541,378,320,240,171,122,83,5992
Tainan City,273,142,111,94,94,153,434,1916,1618,1259,1183,1316,1329,977,1114,1297,1310,1931,1513,1045,854,831,606,371,21771
Kaohsiung City,635,408,270,194,235,388,1026,4209,3816,3092,2982,3149,3125,2555,2699,3044,3671,4439,3690,2797,2059,2081,1882,1155,53601
Pingtung County,131,87,67,60,77,120,292,874,812,784,773,816,752,622,672,783,876,1093,854,618,538,439,362,227,12729
Yilan County,48,40,29,19,23,62,112,526,426,386,390,352,387,312,348,354,393,510,376,260,194,188,125,86,5946
Hualien County,39,18,22,14,20,37,95,312,321,299,332,315,329,273,283,276,294,391,306,197,190,168,114,75,4720
Taitung County,36,15,14,18,30,29,58,199,199,202,188,200,183,173,191,168,195,231,185,171,96,83,76,53,2993
Penghu County,6,8,5,4,7,8,21,67,53,60,59,55,64,64,45,62,69,90,52,52,28,32,20,12,943
Kinmen County,7,4,5,6,5,4,12,52,42,36,34,47,49,44,27,44,31,66,59,34,24,22,13,6,673
Lienchiang County,0,0,0,1,0,0,3,0,1,0,0,0,4,0,1,0,3,3,0,0,0,0,0,0,16
