county,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,hour_all
Taiwan,46,51,33,33,51,77,77,85,92,76,79,59,67,74,57,74,75,66,74,78,77,56,47,51,1555
Taipei City,0,6,4,4,1,6,5,2,7,6,7,2,1,3,4,2,2,2,3,6,5,4,2,6,90
New Taipei City,10,3,6,2,1,4,7,7,8,6,12,6,3,6,1,4,5,6,5,1,6,6,3,4,122
Keelung City,0,0,2,2,0,0,1,0,0,2,2,0,1,1,0,2,0,0,0,2,1,1,0,0,17
Taoyuan City,5,7,3,0,4,5,5,5,8,6,7,5,6,5,7,2,6,5,5,5,4,2,8,3,118
Hsinchu City,2,2,0,2,2,2,0,0,2,1,1,1,0,0,2,2,1,1,2,0,0,1,0,0,24
Hsinchu County,0,3,1,2,2,1,1,5,6,0,4,2,0,3,2,3,3,2,1,2,5,1,1,4,54
Miaoli County,2,0,1,2,1,1,4,5,0,3,3,1,5,6,2,0,2,1,1,2,4,1,2,1,50
Taichung City,1,2,1,1,4,9,9,5,6,3,5,6,4,3,3,4,7,3,7,5,7,5,6,4,110
Changhua County,0,9,4,1,2,10,6,8,9,5,5,4,4,2,1,5,9,7,8,8,7,6,2,3,125
Nantou County,0,0,1,3,1,0,1,4,3,4,5,3,1,1,7,8,6,3,4,5,4,3,4,2,73
Yunlin County,6,1,1,2,2,5,2,7,4,7,4,3,5,6,1,5,5,3,9,5,3,2,5,3,96
Chiayi City,0,1,0,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10
Chiayi County,2,2,0,1,1,2,8,4,6,2,0,5,6,3,5,8,4,4,3,6,2,3,1,0,78
Tainan City,4,2,4,2,8,5,8,12,14,11,8,7,10,6,5,10,8,9,9,11,11,7,2,8,181
Kaohsiung City,5,7,1,3,7,8,7,10,4,11,6,4,4,15,7,8,11,7,8,10,6,8,5,6,168
Pingtung County,6,2,2,2,7,5,4,5,7,4,3,5,5,3,5,3,1,6,3,2,6,3,2,3,94
Yilan County,2,1,1,2,3,5,1,0,1,2,3,2,3,3,1,2,2,4,2,4,0,0,0,0,44
Hualien County,0,1,0,0,0,3,3,3,4,1,1,1,6,3,2,4,0,2,1,3,4,2,1,1,46
Taitung County,0,1,1,0,3,3,4,1,2,1,3,1,2,4,2,2,2,1,2,1,0,1,3,2,42
Penghu County,1,1,0,0,0,2,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,9
Kinmen County,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
Lienchiang County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
