county,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,hour_all
全台灣,44,42,38,36,42,84,80,87,87,85,78,96,59,64,59,95,70,96,107,90,51,53,56,40,1639
臺北市,4,1,1,1,1,6,3,4,5,7,5,6,2,5,5,6,1,6,3,2,2,3,6,2,87
新北市,1,4,5,4,4,3,7,6,8,10,0,5,3,3,4,8,9,9,6,4,3,4,6,4,120
基隆市,0,0,0,1,1,1,2,2,0,1,1,2,2,1,0,0,0,1,3,1,0,1,0,2,22
桃園市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新竹市,1,1,1,2,0,1,1,1,4,2,2,0,0,2,0,1,1,1,2,3,2,1,1,0,30
新竹縣,0,1,1,1,2,4,3,3,3,6,2,3,5,3,3,2,2,3,7,5,4,3,1,5,72
苗栗縣,0,3,1,1,2,5,1,3,2,2,3,2,1,2,4,3,3,3,4,2,3,0,0,4,54
臺中市,3,0,3,2,4,6,9,12,6,4,5,5,2,3,7,9,6,10,8,4,7,2,7,3,127
彰化縣,7,4,2,5,7,6,6,3,6,3,10,6,9,4,3,9,6,7,12,8,6,4,4,3,140
南投縣,3,1,1,1,0,3,3,2,3,3,3,5,1,3,2,5,2,3,2,1,2,3,3,1,56
雲林縣,2,2,3,1,1,4,3,7,7,5,2,9,6,4,4,5,4,9,8,4,4,3,5,4,106
嘉義市,0,2,0,1,0,1,0,0,3,0,1,1,0,0,0,1,2,0,1,1,1,0,0,0,15
嘉義縣,1,0,1,1,0,4,3,8,4,3,3,4,2,4,1,3,5,4,9,9,2,2,2,1,76
臺南市,6,7,2,2,4,7,8,8,11,11,9,9,8,7,7,9,5,11,9,16,5,7,4,3,175
高雄市,4,4,1,6,8,12,11,8,10,10,7,16,4,7,8,11,9,12,10,9,2,6,4,3,182
屏東縣,5,3,8,2,1,8,7,7,5,6,5,8,2,3,4,9,1,3,8,4,1,3,3,2,108
宜蘭縣,2,0,2,0,1,3,3,4,2,4,2,2,2,2,0,3,3,2,3,2,1,3,1,1,48
花蓮縣,0,1,0,1,1,3,2,1,0,2,2,6,1,1,2,0,1,4,4,2,0,1,3,0,38
臺東縣,0,2,2,0,0,1,2,3,1,1,5,1,1,1,1,4,3,2,2,4,2,1,1,0,40
澎湖縣,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,8
金門縣,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,7
連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
